Cohort,Year,Cohort type,Format,Start Date,End Date,Dynamic,Value before,Value after,Change,% Change,Participants
HE-AppState-2024,2024,Higher Ed,6-week,3/5/2025,4/16/2025,D7,3.7,4.1,0.4,11%,13
HE-AppState-2024,2024,Higher Ed,6-week,3/5/2025,4/16/2025,D8,4.5,5,0.5,11%,13
CW-Winter-2025,2025,Higher Ed,6-week,1/29/2025,3/12/2025,D1,4.4,4.7,0.3,7%,21
CW-Winter-2025,2025,Higher Ed,6-week,1/29/2025,3/12/2025,D2,3.8,4.1,0.3,8%,21
HE-Watson-2024,2025,Higher Ed,Course,2/27/2025,4/10/2025,D3,3.8,3.9,0.1,3%,25
CW-Winter-2025,2025,Higher Ed,6-week,1/29/2025,3/12/2025,D4,3.3,3.6,0.3,9%,21
CW-Winter-2025,2025,Higher Ed,6-week,1/29/2025,3/12/2025,D5,3.6,4.2,0.6,17%,21
CW-Winter-2025,2025,Higher Ed,6-week,1/29/2025,3/12/2025,D6,3.3,3.9,0.6,18%,21
CW-Winter-2025,2025,Higher Ed,6-week,1/29/2025,3/12/2025,D7,3.8,3.8,0,0%,21
CW-Winter-2025,2025,Higher Ed,6-week,1/29/2025,3/12/2025,D8,3.3,3.8,0.5,15%,21
HE-AppState-2025,,,,9/1/2025,9/3/2025,D1,4.3,4.8,0.5,12%,16
HE-AppState-2025,,,,9/1/2025,9/3/2025,D2,4,4.3,0.3,8%,16
HE-AppState-2025,,,,9/1/2025,9/3/2025,D3,3.7,4.3,0.6,16%,16
HE-AppState-2025,,,,9/1/2025,9/3/2025,D4,3.4,4,0.6,18%,16
HE-AppState-2025,,,,9/1/2025,9/3/2025,D5,3.4,4.2,0.8,24%,16
HE-AppState-2025,,,,9/1/2025,9/3/2025,D6,3.4,4,0.6,18%,16
HE-AppState-2025,,,,9/1/2025,9/3/2025,D7,3.4,4,0.6,18%,16
HE-AppState-2025,,,,9/1/2025,9/3/2025,D8,4,4.4,0.4,10%,16
HE-Kim-Cohen-2025,,,,9/15/2025,11/7/2025,D1,4.3,4.7,0.4,9%,14
HE-Kim-Cohen-2025,,,,9/15/2025,11/7/2025,D2,3.4,4.1,0.7,21%,14
HE-Kim-Cohen-2025,,,,9/15/2025,11/7/2025,D3,3.6,4.2,0.6,17%,14
HE-Kim-Cohen-2025,,,,9/15/2025,11/7/2025,D4,3.2,4,0.8,25%,14
HE-Kim-Cohen-2025,,,,9/15/2025,11/7/2025,D5,3.2,4.2,1,31%,14
HE-Kim-Cohen-2025,,,,9/15/2025,11/7/2025,D6,2.3,4.2,1.9,83%,14
HE-Kim-Cohen-2025,,,,9/15/2025,11/7/2025,D7,3,4.2,1.2,40%,14
HE-Kim-Cohen-2025,,,,9/15/2025,11/7/2025,D8,3.7,4.8,1.1,30%,14
HE-Vaught-2025,,,,6/15/2025,9/16/2025,D1,3.9,4.3,0.4,10%,26
HE-Vaught-2025,,,,6/15/2025,9/16/2025,D2,3.5,3.8,0.3,9%,26
HE-Vaught-2025,,,,6/15/2025,9/16/2025,D3,3.5,3.7,0.2,6%,26
HE-Vaught-2025,,,,6/15/2025,9/16/2025,D4,3.9,3.9,0,0%,26
HE-Vaught-2025,,,,6/15/2025,9/16/2025,D5,3.7,4.4,0.7,19%,26
HE-Vaught-2025,,,,6/15/2025,9/16/2025,D6,3.3,4.1,0.8,24%,26
HE-Vaught-2025,,,,6/15/2025,9/16/2025,D7,3.6,4,0.4,11%,26
HE-Vaught-2025,,,,6/15/2025,9/16/2025,D8,4.2,4,-0.2,-5%,26
HE-Cornes-2025,,,,6/15/2025,9/16/2025,D1,4.1,4.5,0.4,10%,16
HE-Cornes-2025,,,,6/15/2025,9/16/2025,D2,3.1,3.6,0.5,16%,16
HE-Cornes-2025,,,,6/15/2025,9/16/2025,D3,3.1,3.8,0.7,23%,16
HE-Cornes-2025,,,,6/15/2025,9/16/2025,D4,2.6,3.3,0.7,27%,16
HE-Cornes-2025,,,,6/15/2025,9/16/2025,D5,3.2,4.1,0.9,28%,16
HE-Cornes-2025,,,,6/15/2025,9/16/2025,D6,2.4,3.6,1.2,50%,16
HE-Cornes-2025,,,,6/15/2025,9/16/2025,D7,3.1,3.9,0.8,26%,16
HE-Cornes-2025,,,,6/15/2025,9/16/2025,D8,3.4,4.1,0.7,21%,16
HE-Tripuraneni-2025,,,,6/15/2025,9/15/2025,D1,4,4.4,0.4,10%,27
HE-Tripuraneni-2025,,,,6/15/2025,9/15/2025,D2,3.5,4,0.5,14%,27
HE-Tripuraneni-2025,,,,6/15/2025,9/15/2025,D3,3.6,3.9,0.3,8%,27
HE-Tripuraneni-2025,,,,6/15/2025,9/15/2025,D4,3.3,3.8,0.5,15%,27
HE-Tripuraneni-2025,,,,6/15/2025,9/15/2025,D5,3.6,3.9,0.3,8%,27
HE-Tripuraneni-2025,,,,6/15/2025,9/15/2025,D6,2.8,3.4,0.6,21%,27
HE-Tripuraneni-2025,,,,6/15/2025,9/15/2025,D7,3,3.8,0.8,27%,27
HE-Tripuraneni-2025,,,,6/15/2025,9/15/2025,D8,4.3,4.3,0,0%,27
HE-Andrejewski-2024,,,,9/20/2024,12/21/2024,D6,2.6,4,1.4,54%,14
HE-Andrejewski-2024,2024,Higher Ed,Course,1/20/2024,4/21/2024,D7,3.4,3.8,0.4,12%,14
HE-Andrejewski-2025 ,2025,Higher Ed,Course,1/20/2025,4/21/2025,D7,2.7,4.1,1.4,52%,14
HE-Andrejewski-2024,,,,9/20/2024,12/21/2024,D7,3.4,4.1,0.7,21%,14
HE-Andrejewski-2024,2024,Higher Ed,Course,1/20/2024,4/21/2024,D8,3.6,4.6,1,28%,14
HE-Andrejewski-2025 ,2025,Higher Ed,Course,1/20/2025,4/21/2025,D8,3.6,4,0.4,11%,14
HE-Andrejewski-2024,,,,9/20/2024,12/21/2024,D8,3.6,4.6,1,28%,14
HE-Silverman-2025,,,,10/3/2025,10/6/2025,D1,4.1,4.4,0.3,7%,16
HE-Silverman-2025,,,,10/3/2025,10/6/2025,D2,3.4,4.1,0.7,21%,16
HE-Silverman-2025,,,,10/3/2025,10/6/2025,D3,3.2,3.9,0.7,22%,16
HE-Silverman-2025,,,,10/3/2025,10/6/2025,D4,2.8,3.7,0.9,32%,16
HE-Silverman-2025,,,,10/3/2025,10/6/2025,D5,3.5,3.6,0.1,3%,16
HE-Silverman-2025,,,,10/3/2025,10/6/2025,D6,2.8,3.6,0.8,29%,16
HE-Silverman-2025,,,,10/3/2025,10/6/2025,D7,3.1,3.8,0.7,23%,16
HE-Silverman-2025,,,,10/3/2025,10/6/2025,D8,3.2,4.1,0.9,28%,16
HE-Hawkins-2025,,,,6/15/2025,8/6/2025,D1,4.5,4.8,0.3,7%,12
HE-Hawkins-2025,,,,6/15/2025,8/6/2025,D2,3.8,3.8,0,0%,12
HE-Hawkins-2025,,,,6/15/2025,8/6/2025,D3,3.3,3.9,0.6,18%,12
HE-Hawkins-2025,,,,6/15/2025,8/6/2025,D4,2.7,3.8,1.1,41%,12
HE-Hawkins-2025,,,,6/15/2025,8/6/2025,D5,3.3,3.9,0.6,18%,12
HE-Hawkins-2025,,,,6/15/2025,8/6/2025,D6,2.6,3.8,1.2,46%,12
HE-Hawkins-2025,,,,6/15/2025,8/6/2025,D7,3.1,3.5,0.4,13%,12
HE-Hawkins-2025,,,,6/15/2025,8/6/2025,D8,3.4,4.3,0.9,26%,12
HE-McDuff-2025,,,,9/29/2025,10/3/2025,D1,4.5,4.9,0.4,9%,21
HE-McDuff-2025,,,,9/29/2025,10/3/2025,D2,4.2,4.7,0.5,12%,21
HE-McDuff-2025,,,,9/29/2025,10/3/2025,D3,3.3,4.3,1,30%,21
HE-McDuff-2025,,,,9/29/2025,10/3/2025,D4,3.2,4,0.8,25%,21
HE-McDuff-2025,,,,9/29/2025,10/3/2025,D5,3.4,4.2,0.8,24%,21
HE-McDuff-2025,,,,9/29/2025,10/3/2025,D6,2.9,3.9,1,34%,21
HE-McDuff-2025,,,,9/29/2025,10/3/2025,D7,3.1,4,0.9,29%,21
HE-McDuff-2025,,,,9/29/2025,10/3/2025,D8,4.5,4.5,0,0%,21
HE-Ciulla-2025,,,,6/15/2025,9/12/2025,D1,4.4,4.6,0.2,5%,13
HE-Ciulla-2025,,,,6/15/2025,9/12/2025,D2,4,4.4,0.4,10%,13
HE-Ciulla-2025,,,,6/15/2025,9/12/2025,D3,3.3,4.4,1.1,33%,13
HE-Ciulla-2025,,,,6/15/2025,9/12/2025,D4,3,3.7,0.7,23%,13
HE-Ciulla-2025,,,,6/15/2025,9/12/2025,D5,2.8,4.1,1.3,46%,13
HE-Ciulla-2025,,,,6/15/2025,9/12/2025,D6,2.2,4,1.8,82%,13
HE-Ciulla-2025,,,,6/15/2025,9/12/2025,D7,2.8,4.2,1.4,50%,13
HE-Ciulla-2025,,,,6/15/2025,9/12/2025,D8,3.5,4.4,0.9,26%,13
HE-Catron-2025,2025,Higher Ed,Retreat,6/26/2025,6/29/2025,D1,4.6,4.9,0.3,7%,12
HE-Catron-2025,2025,Higher Ed,Retreat,6/26/2025,6/29/2025,D2,3.2,4.5,1.3,41%,12
HE-Catron-2025,2025,Higher Ed,Retreat,6/26/2025,6/29/2025,D3,2.8,4,1.2,43%,12
HE-Catron-2025,2025,Higher Ed,Retreat,6/26/2025,6/29/2025,D4,2.9,4.1,1.2,41%,12
HE-Catron-2025,2025,Higher Ed,Retreat,6/26/2025,6/29/2025,D5,2.6,4.2,1.6,62%,12
HE-Catron-2025,2025,Higher Ed,Retreat,6/26/2025,6/29/2025,D6,2.3,3.9,1.6,70%,12
HE-Catron-2025,2025,Higher Ed,Retreat,6/26/2025,6/29/2025,D7,2.7,4.2,1.5,56%,12
HE-Catron-2025,2025,Higher Ed,Retreat,6/26/2025,6/29/2025,D8,3.3,5.6,2.3,70%,12
