Cohort,Year,Cohort type,Format,Start Date,End Date,Dynamic,Value before,Value after,Change,% Change
HE-Tozer-2024,2025,Higher Ed,Course,2/21/2025,4/1/2025,D7,2.6,3.7,1.1,42%
HE-Tozer-2024,2025,Higher Ed,Course,2/21/2025,4/1/2025,D8,3.5,4.1,0.6,17%
HE-Watson-2024,2025,Higher Ed,Course,2/27/2025,4/10/2025,D1,4.4,4.8,0.4,9%
HE-Watson-2024,2025,Higher Ed,Course,2/27/2025,4/10/2025,D2,3.9,4.2,0.3,8%
HE-Harrington-2024,2024,Higher Ed,6-week,3/14/2025,4/25/2025,D3,4.1,4.3,0.2,5%
HE-Watson-2024,2025,Higher Ed,Course,2/27/2025,4/10/2025,D4,3.6,3.9,0.3,8%
HE-Watson-2024,2025,Higher Ed,Course,2/27/2025,4/10/2025,D5,3.7,4.2,0.5,14%
HE-Watson-2024,2025,Higher Ed,Course,2/27/2025,4/10/2025,D6,2.8,3.9,1.1,39%
HE-Watson-2024,2025,Higher Ed,Course,2/27/2025,4/10/2025,D7,3.5,4.1,0.6,17%
HE-Watson-2024,2025,Higher Ed,Course,2/27/2025,4/10/2025,D8,4.2,4.5,0.3,7%
HE-Menezes-2024,2025,Higher Ed,Course,2/28/2025,4/11/2025,D1,4.5,5,0.5,11%
HE-Menezes-2024,2025,Higher Ed,Course,2/28/2025,4/11/2025,D2,3.6,4.1,0.5,14%
HE-Hull-2024,2024,Higher Ed,Course,1/20/2025,4/16/2025,D3,2.6,3.3,0.7,27%
HE-Menezes-2024,2025,Higher Ed,Course,2/28/2025,4/11/2025,D4,3.1,3.7,0.6,19%
HE-Menezes-2024,2025,Higher Ed,Course,2/28/2025,4/11/2025,D5,2.8,3.7,0.9,32%
HE-Menezes-2024,2025,Higher Ed,Course,2/28/2025,4/11/2025,D6,2.4,3.7,1.3,54%
HE-Menezes-2024,2025,Higher Ed,Course,2/28/2025,4/11/2025,D7,2.1,4,1.9,90%
HE-Menezes-2024,2025,Higher Ed,Course,2/28/2025,4/11/2025,D8,2.9,4.4,1.5,52%
HE-Fountain-2024,2025,Higher Ed,Retreat,4/11/2025,4/13/2025,D1,4.9,5,0.1,2%
HE-Fountain-2024,2025,Higher Ed,Retreat,4/11/2025,4/13/2025,D2,4.3,4.4,0.1,2%
HE-Kim-Cohen-2024,2024,Higher Ed,Course,1/20/2025,4/21/2025,D3,2.48,3.54,1.06,43%
HE-Fountain-2024,2025,Higher Ed,Retreat,4/11/2025,4/13/2025,D4,3.3,4.4,1.1,33%
HE-Fountain-2024,2025,Higher Ed,Retreat,4/11/2025,4/13/2025,D5,3.6,4.1,0.5,14%
HE-Fountain-2024,2025,Higher Ed,Retreat,4/11/2025,4/13/2025,D6,3.3,4.4,1.1,33%
HE-Fountain-2024,2025,Higher Ed,Retreat,4/11/2025,4/13/2025,D7,3.7,4.3,0.6,16%
HE-Fountain-2024,2025,Higher Ed,Retreat,4/11/2025,4/13/2025,D8,4.1,4.6,0.5,12%
HE-Grant-2024,2025,Higher Ed,Course,1/20/2025,5/7/2025,D1,5,5,0,0%
HE-Grant-2024,2025,Higher Ed,Course,1/20/2025,5/7/2025,D2,3.6,4.4,0.8,22%
HE-Latus-2024 ,2025,Higher Ed,Retreat,4/28/2025,5/2/2025,D3,3,4.6,1.6,53%
HE-Grant-2024,2025,Higher Ed,Course,1/20/2025,5/7/2025,D4,2.8,3.8,1,36%
HE-Grant-2024,2025,Higher Ed,Course,1/20/2025,5/7/2025,D5,3.2,3.8,0.6,19%
HE-Grant-2024,2025,Higher Ed,Course,1/20/2025,5/7/2025,D6,3.2,4,0.8,25%
HE-Grant-2024,2025,Higher Ed,Course,1/20/2025,5/7/2025,D7,3.2,3.6,0.4,13%
HE-Grant-2024,2025,Higher Ed,Course,1/20/2025,5/7/2025,D8,4.6,4.8,0.2,4%
HE-Warner-2024,2025,Higher Ed,Course,1/20/2025,4/28/2025,D1,4,4.8,0.8,20%
HE-Warner-2024,2025,Higher Ed,Course,1/20/2025,4/28/2025,D2,3.7,4,0.3,8%
HE-Marty-Dugas-2024,2025,Higher Ed,6-week,1/22/2025,3/5/2025,D3,3.7,4.2,0.5,14%
HE-Warner-2024,2025,Higher Ed,Course,1/20/2025,4/28/2025,D4,3.4,4.2,0.8,24%
HE-Warner-2024,2025,Higher Ed,Course,1/20/2025,4/28/2025,D5,3.4,3.8,0.4,12%
HE-Warner-2024,2025,Higher Ed,Course,1/20/2025,4/28/2025,D6,2.6,3.9,1.3,50%
HE-Warner-2024,2025,Higher Ed,Course,1/20/2025,4/28/2025,D7,3.2,4.1,0.9,28%
HE-Warner-2024,2025,Higher Ed,Course,1/20/2025,4/28/2025,D8,3.9,4.5,0.6,15%
HE-McDuff-2024,2024,Higher Ed,Course,9/1/2024,11/1/2024,D3,4.1,4.37,0.27,7%
HE-Schroering-2024,2025,Higher Ed,6-week,3/19/2025,4/30/2025,D1,4.7,4.7,0,0%
HE-Schroering-2024,2025,Higher Ed,6-week,3/19/2025,4/30/2025,D2,3.4,3.9,0.5,15%
HE-Menezes-2024,2025,Higher Ed,Course,2/28/2025,4/11/2025,D3,3,3.9,0.9,30%
HE-Schroering-2024,2025,Higher Ed,6-week,3/19/2025,4/30/2025,D4,2.8,3.5,0.7,25%
HE-Schroering-2024,2025,Higher Ed,6-week,3/19/2025,4/30/2025,D5,3.4,3.5,0.1,3%
HE-Schroering-2024,2025,Higher Ed,6-week,3/19/2025,4/30/2025,D6,2.5,3.7,1.2,48%
HE-Schroering-2024,2025,Higher Ed,6-week,3/19/2025,4/30/2025,D7,2.9,4.1,1.2,41%
HE-Schroering-2024,2025,Higher Ed,6-week,3/19/2025,4/30/2025,D8,3.3,4.1,0.8,24%
HE-Brown-2024,2025,Higher Ed,6-week,6/17/2025,7/29/2025,D1,4.5,4.8,0.3,7%
HE-Brown-2024,2025,Higher Ed,6-week,6/17/2025,7/29/2025,D2,4.1,4.6,0.5,12%
HE-Olins-2024,2025,Higher Ed,Course,2/21/2025,4/1/2025,D3,3.2,4.2,1,31%
HE-Brown-2024,2025,Higher Ed,6-week,6/17/2025,7/29/2025,D4,2.6,3.4,0.8,31%
HE-Brown-2024,2025,Higher Ed,6-week,6/17/2025,7/29/2025,D5,3,3.8,0.8,27%
HE-Brown-2024,2025,Higher Ed,6-week,6/17/2025,7/29/2025,D6,2.4,3.6,1.2,50%
HE-Brown-2024,2025,Higher Ed,6-week,6/17/2025,7/29/2025,D7,2.9,3.6,0.7,24%
HE-Brown-2024,2025,Higher Ed,6-week,6/17/2025,7/29/2025,D8,3.8,4.6,0.8,21%
HE-Latus-2024 ,2025,Higher Ed,Retreat,4/28/2025,5/2/2025,D1,4.5,4.9,0.4,9%
HE-Latus-2024 ,2025,Higher Ed,Retreat,4/28/2025,5/2/2025,D2,3.6,3.5,-0.1,-3%
HE-Schroering-2024,2025,Higher Ed,6-week,3/19/2025,4/30/2025,D3,3.3,3.7,0.4,12%
HE-Latus-2024 ,2025,Higher Ed,Retreat,4/28/2025,5/2/2025,D4,3.1,4.1,1,32%
HE-Latus-2024 ,2025,Higher Ed,Retreat,4/28/2025,5/2/2025,D5,2.8,4.3,1.5,54%
HE-Latus-2024 ,2025,Higher Ed,Retreat,4/28/2025,5/2/2025,D6,2.4,3.8,1.4,58%
HE-Latus-2024 ,2025,Higher Ed,Retreat,4/28/2025,5/2/2025,D7,2.1,4,1.9,90%
HE-Latus-2024 ,2025,Higher Ed,Retreat,4/28/2025,5/2/2025,D8,2.8,4.4,1.6,57%
HE-Strand-2024,2025,Higher Ed,Course,1/20/2025,4/29/2025,D1,4.5,5,0.5,11%
HE-Strand-2024,2025,Higher Ed,Course,1/20/2025,4/29/2025,D2,4.3,4.7,0.4,9%
HE-Smith-2024,2025,Higher Ed,Retreat,4/19/2025,4/21/2025,D3,3.3,4.2,0.9,27%
HE-Strand-2024,2025,Higher Ed,Course,1/20/2025,4/29/2025,D4,2.3,3.8,1.5,65%
HE-Strand-2024,2025,Higher Ed,Course,1/20/2025,4/29/2025,D5,3.5,4.5,1,29%
HE-Strand-2024,2025,Higher Ed,Course,1/20/2025,4/29/2025,D6,3,4.3,1.3,43%
HE-Strand-2024,2025,Higher Ed,Course,1/20/2025,4/29/2025,D7,2.8,3.8,1,36%
HE-Strand-2024,2025,Higher Ed,Course,1/20/2025,4/29/2025,D8,4.3,4.7,0.4,9%
HE-Harrington-2024,2024,Higher Ed,6-week,3/14/2025,4/25/2025,D1,5,5,0,0%
HE-Harrington-2024,2024,Higher Ed,6-week,3/14/2025,4/25/2025,D2,3.7,4.1,0.4,11%
HE-Stoeckl-2024,2025,Higher Ed,Course,1/30/2025,3/13/2025,D3,4.1,4.3,0.2,5%
HE-Harrington-2024,2024,Higher Ed,6-week,3/14/2025,4/25/2025,D4,2.9,4.1,1.2,41%
HE-Harrington-2024,2024,Higher Ed,6-week,3/14/2025,4/25/2025,D5,3.7,4.1,0.4,11%
HE-Harrington-2024,2024,Higher Ed,6-week,3/14/2025,4/25/2025,D6,3.4,4.6,1.2,35%
HE-Harrington-2024,2024,Higher Ed,6-week,3/14/2025,4/25/2025,D7,4.4,4.6,0.2,5%
HE-Harrington-2024,2024,Higher Ed,6-week,3/14/2025,4/25/2025,D8,4.1,4.4,0.3,7%
HE-Andrejewski-2024,2025,Higher Ed,Course,1/20/2025,4/23/2025,D4,2.9,3.9,1,34%
HE-Andrejewski-2025 ,,,,1/20/2025,4/21/2025,D4,2.9,4,1.1,38%
HE-Strand-2024,2025,Higher Ed,Course,1/20/2025,4/29/2025,D3,3.5,4.2,0.7,20%
HE-Andrejewski-2024,2024,Higher Ed,Course,1/20/2025,4/23/2025,D5,3.6,4,0.4,11%
HE-Andrejewski-2024,2025,Higher Ed,Course,1/20/2025,4/23/2025,D5,3.1,4.1,1,32%
HE-Andrejewski-2025 ,,,,1/20/2025,4/21/2025,D5,3.6,4.1,0.5,14%
HE-Andrejewski-2024,2024,Higher Ed,Course,1/20/2025,4/23/2025,D6,2.6,3.6,1,38%
HE-Andrejewski-2024,2025,Higher Ed,Course,1/20/2025,4/23/2025,D6,2.4,4,1.6,67%
HE-Smith-2024,2025,Higher Ed,Retreat,4/19/2025,4/21/2025,D1,4.3,4.8,0.5,12%
HE-Smith-2024,2025,Higher Ed,Retreat,4/19/2025,4/21/2025,D2,3.6,4.2,0.6,17%
HE-Tanner-2024,2025,Higher Ed,Course,1/19/2025,3/5/2025,D3,3.2,3.3,0.1,3%
HE-Smith-2024,2025,Higher Ed,Retreat,4/19/2025,4/21/2025,D4,2.9,3.9,1,34%
HE-Smith-2024,2025,Higher Ed,Retreat,4/19/2025,4/21/2025,D5,3.4,4,0.6,18%
HE-Smith-2024,2025,Higher Ed,Retreat,4/19/2025,4/21/2025,D6,2.7,3.9,1.2,44%
HE-Smith-2024,2025,Higher Ed,Retreat,4/19/2025,4/21/2025,D7,2.8,4.1,1.3,46%
HE-Smith-2024,2025,Higher Ed,Retreat,4/19/2025,4/21/2025,D8,3.7,4.5,0.8,22%
HE-Hull-2024,2024,Higher Ed,Course,1/20/2025,4/16/2025,D1,4,4.6,0.6,15%
HE-Hull-2024,2024,Higher Ed,Course,1/20/2025,4/16/2025,D2,3.3,3.9,0.6,18%
HE-Tozer-2024,2025,Higher Ed,Course,2/21/2025,4/1/2025,D3,2.5,3.9,1.4,56%
HE-Hull-2024,2024,Higher Ed,Course,1/20/2025,4/16/2025,D4,3.6,4,0.4,11%
HE-Hull-2024,2024,Higher Ed,Course,1/20/2025,4/16/2025,D5,2.8,3.9,1.1,39%
HE-Hull-2024,2024,Higher Ed,Course,1/20/2025,4/16/2025,D6,2.4,3.9,1.5,63%
HE-Hull-2024,2024,Higher Ed,Course,1/20/2025,4/16/2025,D7,2.4,3.7,1.3,54%
HE-Hull-2024,2024,Higher Ed,Course,1/20/2025,4/16/2025,D8,2.9,4.4,1.5,52%
HE-AppState-2024,2024,Higher Ed,6-week,3/5/2025,4/16/2025,D1,4.8,5,0.2,4%
HE-AppState-2024,2024,Higher Ed,6-week,3/5/2025,4/16/2025,D2,4.3,4.5,0.2,5%
HE-Warner-2024,2025,Higher Ed,Course,1/20/2025,4/28/2025,D3,2.9,4,1.1,38%
HE-AppState-2024,2024,Higher Ed,6-week,3/5/2025,4/16/2025,D4,3.4,4.5,1.1,32%
HE-AppState-2024,2024,Higher Ed,6-week,3/5/2025,4/16/2025,D5,3.6,4,0.4,11%
HE-AppState-2024,2024,Higher Ed,6-week,3/5/2025,4/16/2025,D6,3.3,4,0.7,21%
HE-AppState-2024,2024,Higher Ed,6-week,3/5/2025,4/16/2025,D7,3.7,4.1,0.4,11%
HE-AppState-2024,2024,Higher Ed,6-week,3/5/2025,4/16/2025,D8,4.5,5,0.5,11%
CW-Winter-2025,2025,Higher Ed,6-week,1/29/2025,3/12/2025,D1,4.4,4.7,0.3,7%
CW-Winter-2025,2025,Higher Ed,6-week,1/29/2025,3/12/2025,D2,3.8,4.1,0.3,8%
HE-Watson-2024,2025,Higher Ed,Course,2/27/2025,4/10/2025,D3,3.8,3.9,0.1,3%
CW-Winter-2025,2025,Higher Ed,6-week,1/29/2025,3/12/2025,D4,3.3,3.6,0.3,9%
CW-Winter-2025,2025,Higher Ed,6-week,1/29/2025,3/12/2025,D5,3.6,4.2,0.6,17%
